GEO.id,GEO.id2,GEO.display-label,HC01_EST_VC02,HC01_MOE_VC02,HC02_EST_VC02,HC02_MOE_VC02,HC01_EST_VC04,HC01_MOE_VC04,HC02_EST_VC04,HC02_MOE_VC04,HC01_EST_VC05,HC01_MOE_VC05,HC02_EST_VC05,HC02_MOE_VC05,HC01_EST_VC06,HC01_MOE_VC06,HC02_EST_VC06,HC02_MOE_VC06,HC01_EST_VC07,HC01_MOE_VC07,HC02_EST_VC07,HC02_MOE_VC07,HC01_EST_VC08,HC01_MOE_VC08,HC02_EST_VC08,HC02_MOE_VC08,HC01_EST_VC09,HC01_MOE_VC09,HC02_EST_VC09,HC02_MOE_VC09,HC01_EST_VC10,HC01_MOE_VC10,HC02_EST_VC10,HC02_MOE_VC10,HC01_EST_VC11,HC01_MOE_VC11,HC02_EST_VC11,HC02_MOE_VC11,HC01_EST_VC12,HC01_MOE_VC12,HC02_EST_VC12,HC02_MOE_VC12,HC01_EST_VC14,HC01_MOE_VC14,HC02_EST_VC14,HC02_MOE_VC14,HC01_EST_VC15,HC01_MOE_VC15,HC02_EST_VC15,HC02_MOE_VC15,HC01_EST_VC16,HC01_MOE_VC16,HC02_EST_VC16,HC02_MOE_VC16,HC01_EST_VC17,HC01_MOE_VC17,HC02_EST_VC17,HC02_MOE_VC17,HC01_EST_VC19,HC01_MOE_VC19,HC02_EST_VC19,HC02_MOE_VC19,HC01_EST_VC20,HC01_MOE_VC20,HC02_EST_VC20,HC02_MOE_VC20,HC01_EST_VC21,HC01_MOE_VC21,HC02_EST_VC21,HC02_MOE_VC21,HC01_EST_VC22,HC01_MOE_VC22,HC02_EST_VC22,HC02_MOE_VC22,HC01_EST_VC23,HC01_MOE_VC23,HC02_EST_VC23,HC02_MOE_VC23,HC01_EST_VC24,HC01_MOE_VC24,HC02_EST_VC24,HC02_MOE_VC24,HC01_EST_VC26,HC01_MOE_VC26,HC02_EST_VC26,HC02_MOE_VC26,HC01_EST_VC27,HC01_MOE_VC27,HC02_EST_VC27,HC02_MOE_VC27,HC01_EST_VC28,HC01_MOE_VC28,HC02_EST_VC28,HC02_MOE_VC28,HC01_EST_VC29,HC01_MOE_VC29,HC02_EST_VC29,HC02_MOE_VC29,HC01_EST_VC30,HC01_MOE_VC30,HC02_EST_VC30,HC02_MOE_VC30,HC01_EST_VC31,HC01_MOE_VC31,HC02_EST_VC31,HC02_MOE_VC31,HC01_EST_VC32,HC01_MOE_VC32,HC02_EST_VC32,HC02_MOE_VC32,HC01_EST_VC34,HC01_MOE_VC34,HC02_EST_VC34,HC02_MOE_VC34,HC01_EST_VC35,HC01_MOE_VC35,HC02_EST_VC35,HC02_MOE_VC35,HC01_EST_VC36,HC01_MOE_VC36,HC02_EST_VC36,HC02_MOE_VC36
Id,Id2,Geography,Total; Estimate; HOUSEHOLD INCOME BY RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER - Households,Total; Margin of Error; HOUSEHOLD INCOME BY RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER - Households,Median income (dollars); Estimate; HOUSEHOLD INCOME BY RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER - Households,Median income (dollars); Margin of Error; HOUSEHOLD INCOME BY RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER - Households,Total; Estimate; HOUSEHOLD INCOME BY RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER - Households - One race-- - White,Total; Margin of Error; HOUSEHOLD INCOME BY RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER - Households - One race-- - White,Median income (dollars); Estimate; HOUSEHOLD INCOME BY RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER - Households - One race-- - White,Median income (dollars); Margin of Error; HOUSEHOLD INCOME BY RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER - Households - One race-- - White,Total; Estimate; HOUSEHOLD INCOME BY RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER - Households - One race-- - Black or African American,Total; Margin of Error; HOUSEHOLD INCOME BY RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER - Households - One race-- - Black or African American,Median income (dollars); Estimate; HOUSEHOLD INCOME BY RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER - Households - One race-- - Black or African American,Median income (dollars); Margin of Error; HOUSEHOLD INCOME BY RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER - Households - One race-- - Black or African American,Total; Estimate; HOUSEHOLD INCOME BY RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER - Households - One race-- - American Indian and Alaska Native,Total; Margin of Error; HOUSEHOLD INCOME BY RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER - Households - One race-- - American Indian and Alaska Native,Median income (dollars); Estimate; HOUSEHOLD INCOME BY RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER - Households - One race-- - American Indian and Alaska Native,Median income (dollars); Margin of Error; HOUSEHOLD INCOME BY RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER - Households - One race-- - American Indian and Alaska Native,Total; Estimate; HOUSEHOLD INCOME BY RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER - Households - One race-- - Asian,Total; Margin of Error; HOUSEHOLD INCOME BY RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER - Households - One race-- - Asian,Median income (dollars); Estimate; HOUSEHOLD INCOME BY RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER - Households - One race-- - Asian,Median income (dollars); Margin of Error; HOUSEHOLD INCOME BY RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER - Households - One race-- - Asian,Total; Estimate; HOUSEHOLD INCOME BY RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER - Households - One race-- - Native Hawaiian and Other Pacific Islander,Total; Margin of Error; HOUSEHOLD INCOME BY RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER - Households - One race-- - Native Hawaiian and Other Pacific Islander,Median income (dollars); Estimate; HOUSEHOLD INCOME BY RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER - Households - One race-- - Native Hawaiian and Other Pacific Islander,Median income (dollars); Margin of Error; HOUSEHOLD INCOME BY RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER - Households - One race-- - Native Hawaiian and Other Pacific Islander,Total; Estimate; HOUSEHOLD INCOME BY RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER - Households - One race-- - Some other race,Total; Margin of Error; HOUSEHOLD INCOME BY RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER - Households - One race-- - Some other race,Median income (dollars); Estimate; HOUSEHOLD INCOME BY RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER - Households - One race-- - Some other race,Median income (dollars); Margin of Error; HOUSEHOLD INCOME BY RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER - Households - One race-- - Some other race,Total; Estimate; HOUSEHOLD INCOME BY RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER - Households - Two or more races,Total; Margin of Error; HOUSEHOLD INCOME BY RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER - Households - Two or more races,Median income (dollars); Estimate; HOUSEHOLD INCOME BY RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER - Households - Two or more races,Median income (dollars); Margin of Error; HOUSEHOLD INCOME BY RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER - Households - Two or more races,Total; Estimate; HOUSEHOLD INCOME BY RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER - Households - Hispanic or Latino origin (of any race),Total; Margin of Error; HOUSEHOLD INCOME BY RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER - Households - Hispanic or Latino origin (of any race),Median income (dollars); Estimate; HOUSEHOLD INCOME BY RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER - Households - Hispanic or Latino origin (of any race),Median income (dollars); Margin of Error; HOUSEHOLD INCOME BY RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER - Households - Hispanic or Latino origin (of any race),"Total; Estimate; HOUSEHOLD INCOME BY RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER - Households - White alone, not Hispanic or Latino","Total; Margin of Error; HOUSEHOLD INCOME BY RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER - Households - White alone, not Hispanic or Latino","Median income (dollars); Estimate; HOUSEHOLD INCOME BY RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER - Households - White alone, not Hispanic or Latino","Median income (dollars); Margin of Error; HOUSEHOLD INCOME BY RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER - Households - White alone, not Hispanic or Latino",Total; Estimate; HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER - 15 to 24 years,Total; Margin of Error; HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER - 15 to 24 years,Median income (dollars); Estimate; HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER - 15 to 24 years,Median income (dollars); Margin of Error; HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER - 15 to 24 years,Total; Estimate; HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER - 25 to 44 years,Total; Margin of Error; HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER - 25 to 44 years,Median income (dollars); Estimate; HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER - 25 to 44 years,Median income (dollars); Margin of Error; HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER - 25 to 44 years,Total; Estimate; HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER - 45 to 64 years,Total; Margin of Error; HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER - 45 to 64 years,Median income (dollars); Estimate; HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER - 45 to 64 years,Median income (dollars); Margin of Error; HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER - 45 to 64 years,Total; Estimate; HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER - 65 years and over,Total; Margin of Error; HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER - 65 years and over,Median income (dollars); Estimate; HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER - 65 years and over,Median income (dollars); Margin of Error; HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER - 65 years and over,Total; Estimate; FAMILIES - Families,Total; Margin of Error; FAMILIES - Families,Median income (dollars); Estimate; FAMILIES - Families,Median income (dollars); Margin of Error; FAMILIES - Families,Total; Estimate; FAMILIES - Families - With own children under 18 years,Total; Margin of Error; FAMILIES - Families - With own children under 18 years,Median income (dollars); Estimate; FAMILIES - Families - With own children under 18 years,Median income (dollars); Margin of Error; FAMILIES - Families - With own children under 18 years,Total; Estimate; FAMILIES - Families - With no own children under 18 years,Total; Margin of Error; FAMILIES - Families - With no own children under 18 years,Median income (dollars); Estimate; FAMILIES - Families - With no own children under 18 years,Median income (dollars); Margin of Error; FAMILIES - Families - With no own children under 18 years,Total; Estimate; FAMILIES - Families - Married-couple families,Total; Margin of Error; FAMILIES - Families - Married-couple families,Median income (dollars); Estimate; FAMILIES - Families - Married-couple families,Median income (dollars); Margin of Error; FAMILIES - Families - Married-couple families,"Total; Estimate; FAMILIES - Families - Female householder, no husband present","Total; Margin of Error; FAMILIES - Families - Female householder, no husband present","Median income (dollars); Estimate; FAMILIES - Families - Female householder, no husband present","Median income (dollars); Margin of Error; FAMILIES - Families - Female householder, no husband present","Total; Estimate; FAMILIES - Families - Male householder, no wife present","Total; Margin of Error; FAMILIES - Families - Male householder, no wife present","Median income (dollars); Estimate; FAMILIES - Families - Male householder, no wife present","Median income (dollars); Margin of Error; FAMILIES - Families - Male householder, no wife present",Total; Estimate; NONFAMILY HOUSEHOLDS - Nonfamily households,Total; Margin of Error; NONFAMILY HOUSEHOLDS - Nonfamily households,Median income (dollars); Estimate; NONFAMILY HOUSEHOLDS - Nonfamily households,Median income (dollars); Margin of Error; NONFAMILY HOUSEHOLDS - Nonfamily households,Total; Estimate; NONFAMILY HOUSEHOLDS - Nonfamily households - Female householder,Total; Margin of Error; NONFAMILY HOUSEHOLDS - Nonfamily households - Female householder,Median income (dollars); Estimate; NONFAMILY HOUSEHOLDS - Nonfamily households - Female householder,Median income (dollars); Margin of Error; NONFAMILY HOUSEHOLDS - Nonfamily households - Female householder,Total; Estimate; NONFAMILY HOUSEHOLDS - Nonfamily households - Female householder - Living alone,Total; Margin of Error; NONFAMILY HOUSEHOLDS - Nonfamily households - Female householder - Living alone,Median income (dollars); Estimate; NONFAMILY HOUSEHOLDS - Nonfamily households - Female householder - Living alone,Median income (dollars); Margin of Error; NONFAMILY HOUSEHOLDS - Nonfamily households - Female householder - Living alone,Total; Estimate; NONFAMILY HOUSEHOLDS - Nonfamily households - Female householder - Not living alone,Total; Margin of Error; NONFAMILY HOUSEHOLDS - Nonfamily households - Female householder - Not living alone,Median income (dollars); Estimate; NONFAMILY HOUSEHOLDS - Nonfamily households - Female householder - Not living alone,Median income (dollars); Margin of Error; NONFAMILY HOUSEHOLDS - Nonfamily households - Female householder - Not living alone,Total; Estimate; NONFAMILY HOUSEHOLDS - Nonfamily households - Male householder,Total; Margin of Error; NONFAMILY HOUSEHOLDS - Nonfamily households - Male householder,Median income (dollars); Estimate; NONFAMILY HOUSEHOLDS - Nonfamily households - Male householder,Median income (dollars); Margin of Error; NONFAMILY HOUSEHOLDS - Nonfamily households - Male householder,Total; Estimate; NONFAMILY HOUSEHOLDS - Nonfamily households - Male householder - Living alone,Total; Margin of Error; NONFAMILY HOUSEHOLDS - Nonfamily households - Male householder - Living alone,Median income (dollars); Estimate; NONFAMILY HOUSEHOLDS - Nonfamily households - Male householder - Living alone,Median income (dollars); Margin of Error; NONFAMILY HOUSEHOLDS - Nonfamily households - Male householder - Living alone,Total; Estimate; NONFAMILY HOUSEHOLDS - Nonfamily households - Male householder - Not living alone,Total; Margin of Error; NONFAMILY HOUSEHOLDS - Nonfamily households - Male householder - Not living alone,Median income (dollars); Estimate; NONFAMILY HOUSEHOLDS - Nonfamily households - Male householder - Not living alone,Median income (dollars); Margin of Error; NONFAMILY HOUSEHOLDS - Nonfamily households - Male householder - Not living alone,Total; Estimate; PERCENT IMPUTED - Household income in the past 12 months,Total; Margin of Error; PERCENT IMPUTED - Household income in the past 12 months,Median income (dollars); Estimate; PERCENT IMPUTED - Household income in the past 12 months,Median income (dollars); Margin of Error; PERCENT IMPUTED - Household income in the past 12 months,Total; Estimate; PERCENT IMPUTED - Family income in the past 12 months,Total; Margin of Error; PERCENT IMPUTED - Family income in the past 12 months,Median income (dollars); Estimate; PERCENT IMPUTED - Family income in the past 12 months,Median income (dollars); Margin of Error; PERCENT IMPUTED - Family income in the past 12 months,Total; Estimate; PERCENT IMPUTED - Nonfamily income in the past 12 months,Total; Margin of Error; PERCENT IMPUTED - Nonfamily income in the past 12 months,Median income (dollars); Estimate; PERCENT IMPUTED - Nonfamily income in the past 12 months,Median income (dollars); Margin of Error; PERCENT IMPUTED - Nonfamily income in the past 12 months
0500000US01003,01003,"Baldwin County, Alabama",70427,2608,44878,3168,89.1,1.5,46719,2781,8.2,1.2,27284,8172,N,N,28381,13442,N,N,N,N,N,N,-,**,N,N,N,N,N,N,24691,23728,N,N,N,N,88.7,1.6,46778,2858,6.1,1.9,30290,15394,33.7,2.0,48097,5838,35.2,1.6,51586,4759,24.9,1.5,35874,3549,51578,2801,50953,2830,41.1,3.2,47703,6956,58.9,3.2,52497,3065,79.9,3.6,59381,6272,14.5,2.7,25260,4397,5.5,2.1,40351,17958,18849,2313,29605,5345,49.8,6.1,23060,2671,43.7,5.8,21013,3931,6.1,3.1,42710,6861,50.2,6.1,35106,7158,33.9,5.2,31053,6547,16.3,5.3,59149,23733,31.6,(X),(X),(X),30.7,(X),(X),(X),31.7,(X),(X),(X)
0500000US01015,01015,"Calhoun County, Alabama",46503,1424,36241,3784,78.9,1.6,40256,3629,19.3,1.5,22726,5563,N,N,N,N,N,N,62746,11290,N,N,-,**,N,N,N,N,N,N,N,N,N,N,47866,34919,78.4,1.6,40017,3669,6.5,1.6,17158,6971,31.3,1.9,48867,6749,37.3,1.7,45605,2712,24.9,1.4,25960,2121,31500,1732,46115,2789,43.1,3.3,37071,11712,56.9,3.3,47719,3315,71.0,3.7,54896,4387,21.9,3.2,17312,3495,7.0,2.5,45088,16279,15003,1385,20100,5159,53.5,5.2,14053,4214,50.2,5.0,13266,3686,3.4,2.1,36208,12687,46.5,5.2,30788,8058,38.3,5.0,27369,7691,8.2,4.2,66270,36256,26.3,(X),(X),(X),26.6,(X),(X),(X),23.9,(X),(X),(X)
0500000US01043,01043,"Cullman County, Alabama",30953,1300,33959,3583,97.4,1.2,34444,3475,N,N,N,N,N,N,N,N,N,N,-,**,N,N,-,**,N,N,18105,1973,N,N,N,N,N,N,24017,21018,95.1,1.4,34717,3853,4.5,1.6,8750,19540,34.2,2.4,38645,6943,38.3,2.6,43079,4734,23.1,1.7,22018,2902,20813,1597,44569,4344,N,N,48153,5604,N,N,41590,5194,N,N,48633,3073,N,N,21502,5697,N,N,35945,20113,10140,1475,18401,3861,52.3,7.6,16030,4524,45.5,7.6,13947,3611,6.8,4.1,27406,2186,47.7,7.6,22359,6446,36.6,6.9,20174,8058,11.1,6.4,31513,22169,24.9,(X),(X),(X),24.0,(X),(X),(X),24.6,(X),(X),(X)
0500000US01049,01049,"DeKalb County, Alabama",24321,1056,30470,2099,96.4,1.4,30466,2127,N,N,N,N,N,N,48269,30327,N,N,-,**,N,N,-,**,N,N,40917,35558,N,N,N,N,N,N,31462,14537,93.0,2.1,30344,2397,2.6,1.7,16347,7429,34.3,3.9,35393,5865,39.7,3.3,33062,6493,23.4,2.3,15602,5343,16995,1412,35848,2850,N,N,36723,3197,N,N,34914,4576,N,N,39330,4743,N,N,14280,3152,N,N,27225,11550,7326,1258,16061,3343,56.4,8.8,11969,1745,53.2,8.6,11515,1519,3.2,3.8,14144,4834,43.6,8.8,25323,9693,36.9,8.7,25195,9499,6.7,5.0,35354,46900,27.0,(X),(X),(X),30.5,(X),(X),(X),18.9,(X),(X),(X)
0500000US01051,01051,"Elmore County, Alabama",25334,1016,52278,4065,80.8,2.1,55555,3505,16.0,2.4,31682,11077,N,N,N,N,N,N,N,N,N,N,-,**,N,N,25492,18539,N,N,N,N,N,N,25594,18050,80.6,2.1,55491,3516,3.6,1.8,54899,7491,39.5,2.8,51664,7954,37.6,2.4,62711,7785,19.2,1.6,28699,3705,19038,1269,59252,4248,N,N,56254,5974,N,N,62257,6873,N,N,68715,6499,N,N,25278,12218,N,N,41320,20577,6296,1048,26354,4889,45.6,7.1,17718,5458,38.2,7.2,13201,3858,7.4,4.9,41147,8042,54.4,7.1,40284,17839,38.8,8.2,29536,6015,15.6,7.2,55417,9815,18.0,(X),(X),(X),18.9,(X),(X),(X),15.2,(X),(X),(X)
0500000US01055,01055,"Etowah County, Alabama",43335,1402,31562,1762,84.1,1.4,34198,2765,13.6,1.3,21036,2432,N,N,N,N,N,N,41317,6980,N,N,-,**,N,N,N,N,N,N,N,N,N,N,N,N,83.3,1.3,34278,3081,4.3,1.3,14929,13404,35.2,2.3,33004,3570,35.9,1.9,41524,3736,24.6,1.5,22275,2826,30002,1982,40163,2884,N,N,34988,6388,N,N,41724,3822,N,N,50802,5051,N,N,18168,7705,N,N,36672,8116,13333,1476,17434,2768,61.1,5.8,15956,2764,55.7,5.5,14887,2139,5.4,3.9,30801,1106,38.9,5.8,19592,3707,33.7,5.6,19604,3345,5.2,3.6,17391,36576,26.7,(X),(X),(X),29.4,(X),(X),(X),20.2,(X),(X),(X)
0500000US01069,01069,"Houston County, Alabama",36076,823,36599,2355,73.2,1.1,45026,2529,24.9,1.1,18429,1784,N,N,24107,23048,N,N,43854,18643,N,N,-,**,N,N,N,N,N,N,28558,17959,N,N,N,N,73.1,1.2,45101,2524,5.0,1.0,25572,12855,34.7,1.6,38648,6414,37.7,1.4,50111,5932,22.5,1.1,25362,2317,24647,902,47260,2950,44.2,2.5,45972,6657,55.8,2.5,48373,4058,73.6,2.6,59707,3025,21.5,2.2,19883,2182,4.9,1.4,30088,12167,11429,847,20182,1370,61.5,3.6,17958,1702,56.6,3.9,16971,1478,4.9,1.5,43021,16667,38.5,3.6,26844,6752,33.1,4.1,24903,7098,5.4,2.0,39483,19514,28.6,(X),(X),(X),26.6,(X),(X),(X),31.6,(X),(X),(X)
0500000US01073,01073,"Jefferson County, Alabama",263698,3683,41691,1084,58.5,0.8,51867,1786,39.1,0.7,29143,1313,N,N,N,N,N,N,45455,11525,N,N,-,**,N,N,40994,13680,N,N,18655,9590,1.9,0.3,39720,7479,57.1,0.7,52090,1907,4.6,0.6,20068,3086,35.0,0.9,46207,2095,38.3,0.9,51572,1831,22.0,0.5,28863,1622,170647,4601,54359,2469,44.6,1.5,52911,5649,55.4,1.5,55231,3109,66.5,1.6,69957,2288,27.4,1.6,28075,1808,6.0,0.9,43278,8783,93051,4003,24137,1863,57.7,2.1,21169,1000,51.6,2.0,20325,1207,6.1,1.2,41052,18232,42.3,2.1,30165,3258,35.4,2.4,26385,3048,7.0,1.5,46094,4133,23.3,(X),(X),(X),25.2,(X),(X),(X),19.0,(X),(X),(X)
0500000US01077,01077,"Lauderdale County, Alabama",35704,1331,37644,3106,88.8,1.5,39713,3210,9.6,1.3,17560,14324,N,N,-,**,N,N,49023,19176,N,N,-,**,N,N,-,**,N,N,N,N,N,N,35866,15163,88.3,1.5,39840,3205,5.8,1.7,9412,1959,31.8,2.6,46787,13039,38.5,2.8,48019,10651,23.8,1.8,25949,4544,25140,1605,52618,8404,N,N,59729,14474,N,N,50628,10659,N,N,64027,6589,N,N,17135,2939,N,N,34813,11149,10564,1424,15403,3205,55.3,6.4,16601,3409,50.4,6.8,16773,3378,4.9,3.2,14500,23921,44.7,6.4,14228,4196,37.7,6.7,16148,4958,7.0,5.3,8505,7346,23.0,(X),(X),(X),22.8,(X),(X),(X),22.3,(X),(X),(X)
0500000US01081,01081,"Lee County, Alabama",52223,1201,38398,4552,71.7,1.6,48032,4701,25.0,1.5,21849,4796,N,N,N,N,N,N,35892,12971,N,N,-,**,N,N,-,**,N,N,13438,6423,N,N,35311,15033,70.8,1.6,48750,4635,20.2,2.1,13061,2165,38.3,1.6,45531,3209,28.4,1.5,59981,4212,13.1,1.0,27066,9536,31283,1672,60080,3313,53.0,3.1,58029,6143,47.0,3.1,61105,3521,69.6,3.7,75579,4291,24.8,3.3,20969,3026,5.6,1.7,33618,29238,20940,1663,16442,1594,47.5,4.1,15298,2354,37.0,4.4,14548,1737,10.4,3.1,19607,9498,52.5,4.1,17072,3390,41.4,4.9,15795,1684,11.1,3.6,29059,11399,18.4,(X),(X),(X),18.5,(X),(X),(X),18.3,(X),(X),(X)
0500000US01083,01083,"Limestone County, Alabama",26271,708,44201,2792,83.7,2.5,46799,2558,12.8,2.7,25388,15091,N,N,11196,6281,N,N,"200,000+",***,N,N,-,**,N,N,N,N,N,N,N,N,N,N,29254,10159,82.3,2.4,47102,3417,3.9,2.0,27011,15586,38.7,3.1,42158,4362,39.3,3.0,61879,6466,18.1,1.8,25161,10421,18838,1319,47404,5778,N,N,48518,9427,N,N,47042,5591,N,N,58200,5467,N,N,25824,7673,N,N,25559,32920,7433,1269,23026,4301,55.5,7.9,19180,8009,48.3,8.0,13818,7300,7.3,6.1,52396,6926,44.5,7.9,36000,15301,33.1,8.0,22409,17010,11.4,5.5,107921,101824,25.1,(X),(X),(X),23.9,(X),(X),(X),25.9,(X),(X),(X)
0500000US01089,01089,"Madison County, Alabama",121955,1949,51359,1335,74.1,1.0,59499,3161,21.9,1.0,34252,2565,N,N,N,N,1.9,0.3,70357,17092,N,N,-,**,N,N,27988,12446,1.4,0.4,35430,10304,N,N,37763,11013,72.9,1.0,59822,3027,5.3,1.0,20916,1479,37.8,1.2,52217,4530,37.9,1.1,67944,8552,18.9,0.8,37002,3544,84042,2591,63695,3240,43.8,2.4,64323,7060,56.2,2.4,63463,2658,74.7,2.5,79736,3910,18.0,1.8,25793,3022,7.3,1.7,41550,8645,37913,2229,29651,2930,50.3,3.1,25285,3687,46.5,3.3,24682,3454,3.8,1.5,31745,10604,49.7,3.1,35213,8031,38.9,3.4,32626,5409,10.7,2.4,50420,9393,25.0,(X),(X),(X),24.7,(X),(X),(X),25.3,(X),(X),(X)
0500000US01095,01095,"Marshall County, Alabama",32397,1434,37030,3220,95.5,1.6,37667,3072,N,N,N,N,N,N,36009,29478,N,N,43870,13874,N,N,-,**,N,N,31548,7717,N,N,18659,10073,N,N,26735,4217,92.2,1.9,38426,2983,4.1,1.9,28510,2939,34.8,2.7,37087,4718,37.1,2.4,55840,12646,23.9,1.5,25826,2530,22767,1630,43938,3771,N,N,37940,8015,N,N,47126,8606,N,N,56190,5102,N,N,17744,10380,N,N,30454,13986,9630,1312,18438,4460,57.3,7.3,13752,2238,53.9,7.0,13323,2618,3.4,3.3,14848,34702,42.7,7.3,26207,8631,30.2,7.0,22569,8330,12.6,6.4,37299,38348,24.9,(X),(X),(X),23.2,(X),(X),(X),28.4,(X),(X),(X)
0500000US01097,01097,"Mobile County, Alabama",149552,2854,38686,1897,65.8,0.9,46700,2245,30.8,0.9,26526,2162,N,N,N,N,N,N,39653,24564,N,N,35795,5097,N,N,N,N,N,N,30893,14493,N,N,38199,22209,65.0,0.9,46735,2238,3.6,0.7,21073,8218,35.4,1.2,41669,2797,39.8,1.3,47390,2344,21.2,0.7,26973,2087,105396,3514,44991,2168,44.8,1.8,41042,1993,55.2,1.8,47892,2031,67.6,1.8,56543,3135,26.2,1.8,20880,2999,6.2,1.0,36428,5380,44156,2841,22126,1729,54.8,3.2,19048,1763,47.3,3.6,17516,1967,7.6,2.0,66021,12951,45.2,3.2,26790,6973,38.3,3.4,23900,4061,6.9,2.0,46328,11207,25.5,(X),(X),(X),26.6,(X),(X),(X),21.5,(X),(X),(X)
0500000US01101,01101,"Montgomery County, Alabama",89542,2265,41340,1941,47.6,1.5,54627,5047,49.7,1.4,30452,2533,N,N,88765,4103,N,N,56518,12420,N,N,-,**,N,N,37385,12803,N,N,N,N,N,N,21875,18753,47.2,1.5,55358,5174,6.1,1.4,20501,4727,35.9,1.3,43816,4359,37.9,1.6,50606,3118,20.1,1.1,31605,4122,56477,2816,52328,2903,49.8,2.5,47341,5263,50.2,2.5,56015,4980,63.2,2.9,71910,5616,28.8,2.7,21527,3377,8.0,2.0,42628,8096,33065,2775,27002,2084,58.7,3.4,22995,2531,53.6,3.8,22971,2520,5.1,1.9,25536,43916,41.3,3.4,35222,3976,35.8,3.6,33576,4306,5.5,2.3,39075,3594,24.8,(X),(X),(X),25.5,(X),(X),(X),22.2,(X),(X),(X)
0500000US01103,01103,"Morgan County, Alabama",45987,1160,38276,3479,84.6,1.6,43045,3205,11.9,2.1,20549,4666,N,N,50625,21514,N,N,-,**,N,N,-,**,N,N,N,N,N,N,52537,39266,N,N,29643,10198,82.9,1.7,43582,2841,2.4,1.1,14756,23257,36.6,2.3,43021,6293,38.2,2.2,49799,6498,22.8,1.7,24717,5327,31616,1868,49121,4627,N,N,43064,4961,N,N,54828,3299,N,N,59632,4935,N,N,27204,11241,N,N,28966,5021,14371,1832,19681,2170,59.1,4.3,15709,1955,54.6,4.9,15896,2018,4.4,3.0,9744,29298,40.9,4.3,23487,5395,35.3,4.7,22591,4772,5.6,2.6,31359,45812,24.0,(X),(X),(X),25.9,(X),(X),(X),19.6,(X),(X),(X)
