GEO.id,GEO.id2,GEO.display-label,HC01_EST_VC02,HC01_MOE_VC02,HC02_EST_VC02,HC02_MOE_VC02,HC01_EST_VC04,HC01_MOE_VC04,HC02_EST_VC04,HC02_MOE_VC04,HC01_EST_VC05,HC01_MOE_VC05,HC02_EST_VC05,HC02_MOE_VC05,HC01_EST_VC06,HC01_MOE_VC06,HC02_EST_VC06,HC02_MOE_VC06,HC01_EST_VC07,HC01_MOE_VC07,HC02_EST_VC07,HC02_MOE_VC07,HC01_EST_VC08,HC01_MOE_VC08,HC02_EST_VC08,HC02_MOE_VC08,HC01_EST_VC09,HC01_MOE_VC09,HC02_EST_VC09,HC02_MOE_VC09,HC01_EST_VC10,HC01_MOE_VC10,HC02_EST_VC10,HC02_MOE_VC10,HC01_EST_VC11,HC01_MOE_VC11,HC02_EST_VC11,HC02_MOE_VC11,HC01_EST_VC12,HC01_MOE_VC12,HC02_EST_VC12,HC02_MOE_VC12,HC01_EST_VC14,HC01_MOE_VC14,HC02_EST_VC14,HC02_MOE_VC14,HC01_EST_VC15,HC01_MOE_VC15,HC02_EST_VC15,HC02_MOE_VC15,HC01_EST_VC16,HC01_MOE_VC16,HC02_EST_VC16,HC02_MOE_VC16,HC01_EST_VC17,HC01_MOE_VC17,HC02_EST_VC17,HC02_MOE_VC17,HC01_EST_VC19,HC01_MOE_VC19,HC02_EST_VC19,HC02_MOE_VC19,HC01_EST_VC20,HC01_MOE_VC20,HC02_EST_VC20,HC02_MOE_VC20,HC01_EST_VC21,HC01_MOE_VC21,HC02_EST_VC21,HC02_MOE_VC21,HC01_EST_VC22,HC01_MOE_VC22,HC02_EST_VC22,HC02_MOE_VC22,HC01_EST_VC23,HC01_MOE_VC23,HC02_EST_VC23,HC02_MOE_VC23,HC01_EST_VC24,HC01_MOE_VC24,HC02_EST_VC24,HC02_MOE_VC24,HC01_EST_VC26,HC01_MOE_VC26,HC02_EST_VC26,HC02_MOE_VC26,HC01_EST_VC27,HC01_MOE_VC27,HC02_EST_VC27,HC02_MOE_VC27,HC01_EST_VC28,HC01_MOE_VC28,HC02_EST_VC28,HC02_MOE_VC28,HC01_EST_VC29,HC01_MOE_VC29,HC02_EST_VC29,HC02_MOE_VC29,HC01_EST_VC30,HC01_MOE_VC30,HC02_EST_VC30,HC02_MOE_VC30,HC01_EST_VC31,HC01_MOE_VC31,HC02_EST_VC31,HC02_MOE_VC31,HC01_EST_VC32,HC01_MOE_VC32,HC02_EST_VC32,HC02_MOE_VC32,HC01_EST_VC34,HC01_MOE_VC34,HC02_EST_VC34,HC02_MOE_VC34,HC01_EST_VC35,HC01_MOE_VC35,HC02_EST_VC35,HC02_MOE_VC35,HC01_EST_VC36,HC01_MOE_VC36,HC02_EST_VC36,HC02_MOE_VC36
Id,Id2,Geography,Total; Estimate; HOUSEHOLD INCOME BY RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER - Households,Total; Margin of Error; HOUSEHOLD INCOME BY RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER - Households,Median income (dollars); Estimate; HOUSEHOLD INCOME BY RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER - Households,Median income (dollars); Margin of Error; HOUSEHOLD INCOME BY RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER - Households,Total; Estimate; HOUSEHOLD INCOME BY RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER - Households - One race-- - White,Total; Margin of Error; HOUSEHOLD INCOME BY RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER - Households - One race-- - White,Median income (dollars); Estimate; HOUSEHOLD INCOME BY RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER - Households - One race-- - White,Median income (dollars); Margin of Error; HOUSEHOLD INCOME BY RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER - Households - One race-- - White,Total; Estimate; HOUSEHOLD INCOME BY RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER - Households - One race-- - Black or African American,Total; Margin of Error; HOUSEHOLD INCOME BY RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER - Households - One race-- - Black or African American,Median income (dollars); Estimate; HOUSEHOLD INCOME BY RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER - Households - One race-- - Black or African American,Median income (dollars); Margin of Error; HOUSEHOLD INCOME BY RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER - Households - One race-- - Black or African American,Total; Estimate; HOUSEHOLD INCOME BY RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER - Households - One race-- - American Indian and Alaska Native,Total; Margin of Error; HOUSEHOLD INCOME BY RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER - Households - One race-- - American Indian and Alaska Native,Median income (dollars); Estimate; HOUSEHOLD INCOME BY RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER - Households - One race-- - American Indian and Alaska Native,Median income (dollars); Margin of Error; HOUSEHOLD INCOME BY RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER - Households - One race-- - American Indian and Alaska Native,Total; Estimate; HOUSEHOLD INCOME BY RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER - Households - One race-- - Asian,Total; Margin of Error; HOUSEHOLD INCOME BY RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER - Households - One race-- - Asian,Median income (dollars); Estimate; HOUSEHOLD INCOME BY RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER - Households - One race-- - Asian,Median income (dollars); Margin of Error; HOUSEHOLD INCOME BY RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER - Households - One race-- - Asian,Total; Estimate; HOUSEHOLD INCOME BY RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER - Households - One race-- - Native Hawaiian and Other Pacific Islander,Total; Margin of Error; HOUSEHOLD INCOME BY RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER - Households - One race-- - Native Hawaiian and Other Pacific Islander,Median income (dollars); Estimate; HOUSEHOLD INCOME BY RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER - Households - One race-- - Native Hawaiian and Other Pacific Islander,Median income (dollars); Margin of Error; HOUSEHOLD INCOME BY RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER - Households - One race-- - Native Hawaiian and Other Pacific Islander,Total; Estimate; HOUSEHOLD INCOME BY RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER - Households - One race-- - Some other race,Total; Margin of Error; HOUSEHOLD INCOME BY RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER - Households - One race-- - Some other race,Median income (dollars); Estimate; HOUSEHOLD INCOME BY RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER - Households - One race-- - Some other race,Median income (dollars); Margin of Error; HOUSEHOLD INCOME BY RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER - Households - One race-- - Some other race,Total; Estimate; HOUSEHOLD INCOME BY RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER - Households - Two or more races,Total; Margin of Error; HOUSEHOLD INCOME BY RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER - Households - Two or more races,Median income (dollars); Estimate; HOUSEHOLD INCOME BY RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER - Households - Two or more races,Median income (dollars); Margin of Error; HOUSEHOLD INCOME BY RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER - Households - Two or more races,Total; Estimate; HOUSEHOLD INCOME BY RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER - Households - Hispanic or Latino origin (of any race),Total; Margin of Error; HOUSEHOLD INCOME BY RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER - Households - Hispanic or Latino origin (of any race),Median income (dollars); Estimate; HOUSEHOLD INCOME BY RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER - Households - Hispanic or Latino origin (of any race),Median income (dollars); Margin of Error; HOUSEHOLD INCOME BY RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER - Households - Hispanic or Latino origin (of any race),"Total; Estimate; HOUSEHOLD INCOME BY RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER - Households - White alone, not Hispanic or Latino","Total; Margin of Error; HOUSEHOLD INCOME BY RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER - Households - White alone, not Hispanic or Latino","Median income (dollars); Estimate; HOUSEHOLD INCOME BY RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER - Households - White alone, not Hispanic or Latino","Median income (dollars); Margin of Error; HOUSEHOLD INCOME BY RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER - Households - White alone, not Hispanic or Latino",Total; Estimate; HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER - 15 to 24 years,Total; Margin of Error; HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER - 15 to 24 years,Median income (dollars); Estimate; HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER - 15 to 24 years,Median income (dollars); Margin of Error; HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER - 15 to 24 years,Total; Estimate; HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER - 25 to 44 years,Total; Margin of Error; HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER - 25 to 44 years,Median income (dollars); Estimate; HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER - 25 to 44 years,Median income (dollars); Margin of Error; HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER - 25 to 44 years,Total; Estimate; HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER - 45 to 64 years,Total; Margin of Error; HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER - 45 to 64 years,Median income (dollars); Estimate; HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER - 45 to 64 years,Median income (dollars); Margin of Error; HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER - 45 to 64 years,Total; Estimate; HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER - 65 years and over,Total; Margin of Error; HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER - 65 years and over,Median income (dollars); Estimate; HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER - 65 years and over,Median income (dollars); Margin of Error; HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER - 65 years and over,Total; Estimate; FAMILIES - Families,Total; Margin of Error; FAMILIES - Families,Median income (dollars); Estimate; FAMILIES - Families,Median income (dollars); Margin of Error; FAMILIES - Families,Total; Estimate; FAMILIES - Families - With own children under 18 years,Total; Margin of Error; FAMILIES - Families - With own children under 18 years,Median income (dollars); Estimate; FAMILIES - Families - With own children under 18 years,Median income (dollars); Margin of Error; FAMILIES - Families - With own children under 18 years,Total; Estimate; FAMILIES - Families - With no own children under 18 years,Total; Margin of Error; FAMILIES - Families - With no own children under 18 years,Median income (dollars); Estimate; FAMILIES - Families - With no own children under 18 years,Median income (dollars); Margin of Error; FAMILIES - Families - With no own children under 18 years,Total; Estimate; FAMILIES - Families - Married-couple families,Total; Margin of Error; FAMILIES - Families - Married-couple families,Median income (dollars); Estimate; FAMILIES - Families - Married-couple families,Median income (dollars); Margin of Error; FAMILIES - Families - Married-couple families,"Total; Estimate; FAMILIES - Families - Female householder, no husband present","Total; Margin of Error; FAMILIES - Families - Female householder, no husband present","Median income (dollars); Estimate; FAMILIES - Families - Female householder, no husband present","Median income (dollars); Margin of Error; FAMILIES - Families - Female householder, no husband present","Total; Estimate; FAMILIES - Families - Male householder, no wife present","Total; Margin of Error; FAMILIES - Families - Male householder, no wife present","Median income (dollars); Estimate; FAMILIES - Families - Male householder, no wife present","Median income (dollars); Margin of Error; FAMILIES - Families - Male householder, no wife present",Total; Estimate; NONFAMILY HOUSEHOLDS - Nonfamily households,Total; Margin of Error; NONFAMILY HOUSEHOLDS - Nonfamily households,Median income (dollars); Estimate; NONFAMILY HOUSEHOLDS - Nonfamily households,Median income (dollars); Margin of Error; NONFAMILY HOUSEHOLDS - Nonfamily households,Total; Estimate; NONFAMILY HOUSEHOLDS - Nonfamily households - Female householder,Total; Margin of Error; NONFAMILY HOUSEHOLDS - Nonfamily households - Female householder,Median income (dollars); Estimate; NONFAMILY HOUSEHOLDS - Nonfamily households - Female householder,Median income (dollars); Margin of Error; NONFAMILY HOUSEHOLDS - Nonfamily households - Female householder,Total; Estimate; NONFAMILY HOUSEHOLDS - Nonfamily households - Female householder - Living alone,Total; Margin of Error; NONFAMILY HOUSEHOLDS - Nonfamily households - Female householder - Living alone,Median income (dollars); Estimate; NONFAMILY HOUSEHOLDS - Nonfamily households - Female householder - Living alone,Median income (dollars); Margin of Error; NONFAMILY HOUSEHOLDS - Nonfamily households - Female householder - Living alone,Total; Estimate; NONFAMILY HOUSEHOLDS - Nonfamily households - Female householder - Not living alone,Total; Margin of Error; NONFAMILY HOUSEHOLDS - Nonfamily households - Female householder - Not living alone,Median income (dollars); Estimate; NONFAMILY HOUSEHOLDS - Nonfamily households - Female householder - Not living alone,Median income (dollars); Margin of Error; NONFAMILY HOUSEHOLDS - Nonfamily households - Female householder - Not living alone,Total; Estimate; NONFAMILY HOUSEHOLDS - Nonfamily households - Male householder,Total; Margin of Error; NONFAMILY HOUSEHOLDS - Nonfamily households - Male householder,Median income (dollars); Estimate; NONFAMILY HOUSEHOLDS - Nonfamily households - Male householder,Median income (dollars); Margin of Error; NONFAMILY HOUSEHOLDS - Nonfamily households - Male householder,Total; Estimate; NONFAMILY HOUSEHOLDS - Nonfamily households - Male householder - Living alone,Total; Margin of Error; NONFAMILY HOUSEHOLDS - Nonfamily households - Male householder - Living alone,Median income (dollars); Estimate; NONFAMILY HOUSEHOLDS - Nonfamily households - Male householder - Living alone,Median income (dollars); Margin of Error; NONFAMILY HOUSEHOLDS - Nonfamily households - Male householder - Living alone,Total; Estimate; NONFAMILY HOUSEHOLDS - Nonfamily households - Male householder - Not living alone,Total; Margin of Error; NONFAMILY HOUSEHOLDS - Nonfamily households - Male householder - Not living alone,Median income (dollars); Estimate; NONFAMILY HOUSEHOLDS - Nonfamily households - Male householder - Not living alone,Median income (dollars); Margin of Error; NONFAMILY HOUSEHOLDS - Nonfamily households - Male householder - Not living alone,Total; Estimate; PERCENT IMPUTED - Household income in the past 12 months,Total; Margin of Error; PERCENT IMPUTED - Household income in the past 12 months,Median income (dollars); Estimate; PERCENT IMPUTED - Household income in the past 12 months,Median income (dollars); Margin of Error; PERCENT IMPUTED - Household income in the past 12 months,Total; Estimate; PERCENT IMPUTED - Family income in the past 12 months,Total; Margin of Error; PERCENT IMPUTED - Family income in the past 12 months,Median income (dollars); Estimate; PERCENT IMPUTED - Family income in the past 12 months,Median income (dollars); Margin of Error; PERCENT IMPUTED - Family income in the past 12 months,Total; Estimate; PERCENT IMPUTED - Nonfamily income in the past 12 months,Total; Margin of Error; PERCENT IMPUTED - Nonfamily income in the past 12 months,Median income (dollars); Estimate; PERCENT IMPUTED - Nonfamily income in the past 12 months,Median income (dollars); Margin of Error; PERCENT IMPUTED - Nonfamily income in the past 12 months
0500000US01003,01003,"Baldwin County, Alabama",66080,2161,42119,3353,88.3,1.5,45023,2693,N,N,22971,6716,N,N,N,N,N,N,40334,15001,N,N,-,**,N,N,35943,11635,N,N,N,N,N,N,36549,16877,87.1,1.4,45045,2806,4.7,1.3,28555,10709,31.2,2.5,43685,9486,37.7,2.7,46735,6093,26.4,1.5,37993,4351,47630,2248,46946,4213,N,N,37938,8570,N,N,52793,4719,N,N,56471,2192,N,N,22004,3418,N,N,27822,3666,18450,2031,28318,4337,53.4,6.2,22020,2471,48.6,6.1,20883,2190,4.8,3.0,47471,22900,46.6,6.2,36556,6371,39.0,5.7,36820,7694,7.6,3.5,36170,26052,25.0,(X),(X),(X),26.8,(X),(X),(X),20.0,(X),(X),(X)
0500000US01015,01015,"Calhoun County, Alabama",46986,1496,36243,3001,78.2,1.9,39269,3116,19.4,1.7,28866,4755,N,N,39905,21715,N,N,"200,000+",***,N,N,-,**,N,N,11250,*,N,N,26563,2452,N,N,N,N,77.5,1.9,39194,3133,8.0,1.8,18106,20970,31.4,2.7,40387,5870,37.9,2.1,45022,4723,22.7,1.5,23215,3079,30874,2142,44912,4045,43.0,3.4,42183,6050,57.0,3.4,46336,3530,69.8,4.6,49777,3580,23.1,4.3,25361,3948,7.1,2.3,35434,13252,16112,1941,18928,3669,59.5,5.5,13910,2192,52.1,5.7,13661,1871,7.3,2.8,31456,29216,40.5,5.5,30712,2784,35.7,5.6,30459,3949,4.8,2.3,34521,17880,24.9,(X),(X),(X),26.6,(X),(X),(X),21.5,(X),(X),(X)
0500000US01043,01043,"Cullman County, Alabama",29919,1146,37153,2882,95.7,1.2,37730,3255,N,N,N,N,N,N,101319,97827,N,N,102264,*,N,N,N,N,N,N,N,N,N,N,N,N,N,N,22064,19174,94.6,0.9,38006,3417,4.7,1.6,27579,7311,38.4,2.6,42392,3996,35.4,2.4,47917,10364,21.5,1.6,18953,6083,22753,1298,43494,2987,N,N,40984,4044,N,N,46513,3921,N,N,48679,5682,N,N,19928,10450,N,N,35520,4230,7166,874,13937,1918,54.0,7.8,9970,1551,51.6,7.7,10227,1670,2.4,2.0,9040,13630,46.0,7.8,25208,10532,35.9,8.3,21389,9389,10.1,6.2,45199,33939,21.5,(X),(X),(X),22.2,(X),(X),(X),18.3,(X),(X),(X)
0500000US01049,01049,"DeKalb County, Alabama",25616,845,29053,3401,93.9,1.8,29608,3692,N,N,N,N,N,N,N,N,N,N,8750,*,N,N,-,**,N,N,N,N,N,N,N,N,N,N,41532,15088,92.3,1.2,29101,3520,3.6,2.0,15879,8085,34.8,3.5,37083,11299,37.0,3.3,38304,7472,24.6,2.4,20480,3347,18796,1172,38002,6217,N,N,40115,8441,N,N,36951,6731,N,N,40912,3041,N,N,21672,6262,N,N,42548,17591,6820,1326,15072,3227,57.3,8.3,11744,2510,51.6,8.0,11015,1432,5.7,5.7,38817,20241,42.7,8.3,16222,1507,33.8,9.8,16226,1201,8.9,6.4,14919,51635,21.4,(X),(X),(X),23.8,(X),(X),(X),14.3,(X),(X),(X)
0500000US01051,01051,"Elmore County, Alabama",25173,723,45802,3900,82.4,2.2,50883,3754,N,N,19309,9821,N,N,-,**,N,N,-,**,N,N,-,**,N,N,N,N,N,N,55316,24045,N,N,73493,60855,81.9,2.2,50907,3585,3.5,2.0,47986,32770,38.3,4.0,45145,7969,38.4,3.4,60901,8139,19.9,2.5,29716,9221,18590,1349,53563,4026,N,N,49972,6798,N,N,60047,7675,N,N,63377,3665,N,N,16493,9521,N,N,66543,21925,6583,1391,31309,4859,50.2,9.2,23509,4645,46.3,8.8,22177,3116,3.9,3.0,61250,77280,49.8,9.2,37348,9227,37.6,8.3,31203,5247,12.3,8.2,50961,13028,26.4,(X),(X),(X),25.6,(X),(X),(X),24.3,(X),(X),(X)
0500000US01055,01055,"Etowah County, Alabama",42592,1367,32507,2260,83.6,1.5,35801,4794,14.2,1.5,19727,4147,N,N,15436,12562,N,N,107105,84520,N,N,-,**,N,N,36650,26329,N,N,27012,17190,N,N,35062,31268,82.8,1.5,36270,4810,4.5,1.5,15643,5740,33.4,2.5,41311,7780,36.7,2.6,39124,4398,25.5,1.7,22409,3816,30556,1622,39493,3524,N,N,37485,6670,N,N,40452,3427,N,N,49099,4347,N,N,19644,3396,N,N,28825,6890,12036,1507,17541,2173,61.7,5.8,15783,1795,58.8,6.0,15588,2261,2.9,1.9,22986,53299,38.3,5.8,23896,7012,30.3,5.5,23111,5905,8.0,4.2,31976,21741,21.8,(X),(X),(X),22.5,(X),(X),(X),19.7,(X),(X),(X)
0500000US01069,01069,"Houston County, Alabama",37684,967,38063,2956,72.4,1.0,45682,3323,25.0,1.1,21455,2956,N,N,36098,31082,N,N,80817,10908,N,N,-,**,N,N,52365,23837,N,N,36776,13378,N,N,50878,23403,72.0,1.0,45528,3353,5.0,1.0,16577,3588,36.9,1.5,44336,4309,37.4,1.4,48147,6843,20.7,1.0,24483,2166,25460,1230,51032,3546,44.5,2.5,46861,5864,55.5,2.5,53705,4243,74.4,2.6,60895,4765,19.7,2.2,19386,3330,6.0,1.5,37457,7126,12224,950,20860,2454,57.4,3.9,16406,2662,54.3,3.9,15252,2524,3.1,1.4,39375,10319,42.6,3.9,26049,4049,36.9,4.4,26868,5038,5.6,2.0,23300,11106,21.0,(X),(X),(X),23.5,(X),(X),(X),15.6,(X),(X),(X)
0500000US01073,01073,"Jefferson County, Alabama",267197,3138,42013,1615,59.5,0.9,51825,1662,38.2,0.8,27897,2871,N,N,31035,24226,1.0,0.2,59401,22015,N,N,-,**,N,N,23538,5552,N,N,27176,6319,N,N,31500,6804,58.3,0.9,52219,1741,5.4,0.8,18733,3622,35.8,0.9,45374,3727,37.4,0.9,51674,1566,21.4,0.6,26624,2070,177487,4626,51350,1661,44.9,1.9,48794,3675,55.1,1.9,53358,2369,68.2,1.8,64424,2239,26.1,1.8,26454,3105,5.7,0.9,41024,10233,89710,4362,23776,1567,56.5,2.7,22232,2078,51.7,3.0,20051,2345,4.8,1.2,53563,8778,43.5,2.7,26379,3925,36.3,2.7,23201,3866,7.2,1.5,59851,12649,24.9,(X),(X),(X),26.9,(X),(X),(X),20.0,(X),(X),(X)
0500000US01077,01077,"Lauderdale County, Alabama",36513,1220,32081,2108,88.2,1.4,34633,2447,N,N,19300,3522,N,N,10640,4743,N,N,N,N,N,N,-,**,N,N,-,**,N,N,N,N,N,N,N,N,87.7,1.5,34800,2381,6.0,1.6,12063,5514,33.7,2.7,31594,5976,37.3,2.6,43239,2962,23.1,1.8,23759,2331,24368,1645,43472,3454,N,N,38811,12837,N,N,44063,3379,N,N,50376,4830,N,N,18996,7610,N,N,26514,18598,12145,1656,19624,3841,57.9,7.2,13953,4930,54.2,7.3,13016,4967,3.6,2.3,30616,18236,42.1,7.2,22753,2230,39.8,7.1,23142,2107,2.3,2.3,12892,17788,24.6,(X),(X),(X),26.3,(X),(X),(X),20.4,(X),(X),(X)
0500000US01081,01081,"Lee County, Alabama",50793,1214,35203,2487,74.5,1.6,37790,2838,21.5,1.4,26318,4642,N,N,30980,21262,N,N,19469,18744,N,N,-,**,N,N,N,N,N,N,16260,1772,N,N,N,N,74.3,1.6,37764,2854,20.1,1.6,10225,2312,36.5,1.6,41500,3075,29.4,1.7,57302,12090,14.0,1.0,26441,4506,29168,1490,51280,4783,49.5,3.6,56607,7813,50.5,3.6,48776,2868,74.5,3.6,65643,3476,18.8,3.0,19973,4361,6.7,2.1,24945,4489,21625,1693,18060,1738,48.9,3.5,15100,3843,35.8,3.7,15055,3517,13.1,3.2,15214,7313,51.1,3.5,22594,3519,35.4,4.2,22055,3460,15.7,3.3,24346,11457,20.2,(X),(X),(X),21.7,(X),(X),(X),17.9,(X),(X),(X)
0500000US01083,01083,"Limestone County, Alabama",26409,811,38562,4017,84.2,2.2,40421,4041,N,N,30207,19161,N,N,N,N,N,N,N,N,N,N,-,**,N,N,22315,14691,N,N,N,N,N,N,N,N,83.8,2.2,40292,4164,3.3,1.5,33007,30405,37.3,3.1,45521,7173,37.7,3.5,42177,7215,21.7,2.3,21826,3502,18512,1189,47205,3904,N,N,52269,8511,N,N,43886,4410,N,N,52275,3797,N,N,26769,6860,N,N,34732,23980,7897,1065,22526,2541,52.7,6.9,17298,3670,48.6,6.8,16154,3101,4.1,2.3,41833,105424,47.3,6.9,27133,5374,36.7,7.9,26552,5775,10.6,6.4,47723,46200,21.4,(X),(X),(X),21.6,(X),(X),(X),21.1,(X),(X),(X)
0500000US01089,01089,"Madison County, Alabama",120461,2511,50504,1772,74.2,1.3,56496,4009,22.1,1.2,31130,2264,N,N,N,N,N,N,58167,19734,N,N,"200,000+",***,N,N,N,N,N,N,39478,18835,N,N,55260,19164,73.3,1.2,56756,4248,5.7,1.0,24734,4852,37.9,1.6,49321,3510,37.3,1.4,72278,6544,19.1,0.9,35892,2329,78546,2961,66337,3129,43.0,2.3,66132,5798,57.0,2.3,66448,4322,75.2,2.4,79867,4467,20.3,2.2,27413,5667,4.5,1.1,43609,5066,41915,2987,31073,2892,46.3,3.6,26619,4547,41.0,3.7,24595,3620,5.3,1.9,38750,2904,53.7,3.6,34643,4649,44.2,4.0,30977,6119,9.5,2.6,40151,5408,21.5,(X),(X),(X),22.3,(X),(X),(X),19.5,(X),(X),(X)
0500000US01095,01095,"Marshall County, Alabama",32967,1072,33722,2705,97.5,1.1,33683,2748,N,N,N,N,N,N,N,N,N,N,177361,*,N,N,-,**,N,N,22875,14660,N,N,N,N,N,N,21033,8721,91.9,1.6,34685,2744,4.4,1.5,23239,5596,35.3,2.9,38533,9992,36.8,2.5,38115,4654,23.5,1.3,24563,4538,23240,1330,41997,6758,N,N,37534,8864,N,N,46544,8117,N,N,52693,5346,N,N,20594,5116,N,N,20329,13709,9727,1192,19272,4571,52.0,6.8,15176,3950,50.9,7.0,14731,4157,1.0,1.2,17475,51959,48.0,6.8,22284,5710,40.0,7.1,21376,4614,8.0,4.5,45272,48108,19.9,(X),(X),(X),17.5,(X),(X),(X),21.8,(X),(X),(X)
0500000US01097,01097,"Mobile County, Alabama",150591,3337,36402,1687,63.4,1.2,43867,2040,33.0,1.2,21626,2213,N,N,28297,9876,N,N,48924,28419,N,N,-,**,N,N,N,N,N,N,37311,24613,N,N,48897,30345,63.0,1.2,43882,2039,5.7,0.9,16647,5421,36.3,1.3,40034,3999,37.5,1.1,42571,4376,20.4,0.9,25435,2717,105099,3417,43184,2637,44.9,2.3,36904,4652,55.1,2.3,46877,3130,65.9,2.3,54059,2717,26.8,2.2,17939,2812,7.3,1.5,42377,10381,45492,2591,21929,1967,54.3,3.6,17037,2350,49.1,3.2,15793,2264,5.2,2.6,45472,9864,45.7,3.6,29801,4615,38.2,3.9,26642,3882,7.5,1.8,45432,5118,26.5,(X),(X),(X),28.4,(X),(X),(X),21.2,(X),(X),(X)
0500000US01101,01101,"Montgomery County, Alabama",87613,2045,40401,2396,47.8,1.5,58902,4068,49.6,1.5,26336,3578,N,N,N,N,N,N,100886,43384,N,N,-,**,N,N,93521,59575,N,N,N,N,N,N,32016,17093,47.1,1.5,59402,4055,7.2,1.6,10706,6009,35.8,1.7,42175,5581,37.6,1.4,49096,5502,19.4,1.3,35043,4524,57736,2784,47962,3669,46.3,3.2,41155,7928,53.7,3.2,53036,3483,63.0,2.9,70451,4928,31.3,3.1,21175,944,5.7,2.1,34471,15922,29877,2569,26166,4766,57.2,4.0,20869,3144,51.7,4.2,18803,4370,5.5,2.2,39611,21858,42.8,4.0,35095,6706,37.3,4.1,31740,5250,5.5,2.8,58495,6205,32.5,(X),(X),(X),35.7,(X),(X),(X),25.3,(X),(X),(X)
0500000US01103,01103,"Morgan County, Alabama",45291,1325,41144,2176,83.0,2.1,42126,2696,N,N,28153,12191,N,N,33789,23627,N,N,N,N,N,N,53750,*,N,N,38580,30528,N,N,44820,21310,N,N,39861,6590,82.2,2.0,42066,2738,3.6,1.6,16530,23153,38.2,2.8,41575,3150,38.9,2.7,53895,7856,19.3,1.5,22795,2546,31084,1556,51762,4618,N,N,41616,6184,N,N,56367,5095,N,N,60002,4663,N,N,20260,5447,N,N,30488,12616,14207,1352,21130,3723,51.3,5.5,15625,3510,47.3,5.4,15277,3367,4.0,3.2,45169,66870,48.7,5.5,25649,3962,42.1,5.5,24474,4055,6.6,3.5,44911,24305,22.3,(X),(X),(X),22.4,(X),(X),(X),20.4,(X),(X),(X)
